2026-04-09 13:07:32 | INFO     | app.services.data_quality_service:calculate_data_quality_metrics:60 - Calculated data quality metrics for user_behavior: {'data_type': 'user_behavior', 'record_count': 3, 'timestamp': '2026-04-09T05:07:32.490493', 'completeness': 1.0, 'accuracy': 1.0, 'consistency': 1.0, 'timeliness': 0.9999999894830247, 'duplicate_count': 0, 'error_count': 0, 'field_statistics': {'user_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 2}, 'behavior_type': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'dish_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'timestamp': {'non_null_count': 3, 'null_count': 0, 'unique_count': 1}, 'age_hours': {'non_null_count': 3, 'null_count': 0, 'unique_count': 1, 'mean': 7.572222222222222e-07, 'min': 7.572222222222222e-07, 'max': 7.572222222222222e-07, 'std': 0.0}, 'timeliness_score': {'non_null_count': 3, 'null_count': 0, 'unique_count': 1, 'mean': 0.9999999894830247, 'min': 0.9999999894830247, 'max': 0.9999999894830247, 'std': 0.0}}}
2026-04-09 13:07:32 | WARNING  | app.services.data_quality_service:_update_quality_metrics_in_redis:239 - Failed to update Redis quality metrics: 'NoneType' object has no attribute 'hset'
2026-04-09 13:07:32 | INFO     | app.services.data_quality_service:calculate_data_quality_metrics:60 - Calculated data quality metrics for dish_feature: {'data_type': 'dish_feature', 'record_count': 3, 'timestamp': '2026-04-09T05:07:32.519289', 'completeness': 1.0, 'accuracy': 0.4444444444444444, 'consistency': 0.6666666666666666, 'timeliness': 1.0, 'duplicate_count': 0, 'error_count': 2, 'field_statistics': {'dish_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'merchant_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'name': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'price': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'mean': 28.833333333333332, 'min': -10.0, 'max': 68.0, 'std': 39.00106836143509}, 'category': {'non_null_count': 3, 'null_count': 0, 'unique_count': 2, 'non_empty_count': 2}, 'sales_volume': {'non_null_count': 1, 'null_count': 2, 'unique_count': 1, 'mean': 100.0, 'min': 100.0, 'max': 100.0, 'std': nan}, 'rating': {'non_null_count': 2, 'null_count': 1, 'unique_count': 2, 'mean': 5.25, 'min': 4.5, 'max': 6.0, 'std': 1.0606601717798212}}}
2026-04-09 13:08:38 | WARNING  | app.core.database:<module>:22 - Redis connection failed: Error 10061 connecting to localhost:6379. 由于目标计算机积极拒绝，无法连接。.
2026-04-09 13:08:44 | WARNING  | app.core.database:<module>:33 - MongoDB connection failed: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 5.0s, Topology Description: <TopologyDescription id: 69d73456ecaebdd1c3fa26cf, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:08:46 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:08:49 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:08:51 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:08:51 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: 8f1408b1-410d-4458-b7da-15758bae307e
2026-04-09 13:08:53 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:08:53 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: 682914d8-a508-4e95-a7a6-43b3862a1317
2026-04-09 13:08:53 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: 768f8561-385c-4b4d-85a5-411b85df094f
2026-04-09 13:08:55 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:08:55 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: fcf8c969-1d27-490a-8c2b-bd6a37e5f5b6
2026-04-09 13:08:55 | WARNING  | app.services.user_behavior_service:get_user_behaviors:99 - MongoDB not available, returning empty behavior list
2026-04-09 13:08:59 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:08:59 | INFO     | app.services.dish_feature_service:create_dish_feature:102 - Created dish feature: b8b8ecae-a23a-4b20-a987-8575a8109a60
2026-04-09 13:09:01 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:09:01 | INFO     | app.services.dish_feature_service:create_dish_feature:102 - Created dish feature: ff017e08-9ab7-494b-b6ef-fe00587a2c12
2026-04-09 13:09:01 | INFO     | app.services.dish_feature_service:create_dish_feature:102 - Created dish feature: 5b9a8788-7756-44fd-b8d2-1513608024bc
2026-04-09 13:09:03 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:09:03 | INFO     | app.services.dish_feature_service:create_dish_feature:102 - Created dish feature: 3d488aa2-4b92-4564-b581-0d016c7003e3
2026-04-09 13:09:03 | WARNING  | app.services.dish_feature_service:get_dish_feature:159 - MongoDB not available, cannot get dish feature
2026-04-09 13:09:03 | ERROR    | app.services.dish_feature_service:get_dish_feature:168 - Failed to get dish feature: MongoDB not available: test_dish_789
2026-04-09 13:09:05 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:09:05 | ERROR    | app.services.data_cleaning_service:clean_user_behavior_data:43 - Failed to clean user behavior data: 'merchant_id'
2026-04-09 13:09:05 | ERROR    | app.services.data_cleaning_service:clean_dish_feature_data:78 - Failed to clean dish feature data: 'description'
2026-04-09 13:09:05 | WARNING  | app.services.data_quality_service:_update_quality_metrics_in_redis:240 - Failed to update Redis quality metrics: 'NoneType' object has no attribute 'hset'
2026-04-09 13:09:05 | INFO     | app.services.data_quality_service:calculate_data_quality_metrics:60 - Calculated data quality metrics for user_behavior: {'data_type': 'user_behavior', 'record_count': 3, 'timestamp': '2026-04-09T05:09:05.215718', 'completeness': 0.8888888888888888, 'accuracy': 1.0, 'consistency': 1.0, 'timeliness': 0.9999999883487655, 'duplicate_count': 0, 'error_count': 0, 'field_statistics': {'user_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 2}, 'behavior_type': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'dish_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'timestamp': {'non_null_count': 3, 'null_count': 0, 'unique_count': 1}, 'age_hours': {'non_null_count': 3, 'null_count': 0, 'unique_count': 1, 'mean': 8.388888888888888e-07, 'min': 8.388888888888889e-07, 'max': 8.388888888888889e-07, 'std': 1.2967490725617583e-22}, 'timeliness_score': {'non_null_count': 3, 'null_count': 0, 'unique_count': 1, 'mean': 0.9999999883487655, 'min': 0.9999999883487655, 'max': 0.9999999883487655, 'std': 0.0}}}
2026-04-09 13:09:05 | WARNING  | app.services.data_quality_service:_update_quality_metrics_in_redis:240 - Failed to update Redis quality metrics: 'NoneType' object has no attribute 'hset'
2026-04-09 13:09:05 | INFO     | app.services.data_quality_service:calculate_data_quality_metrics:60 - Calculated data quality metrics for dish_feature: {'data_type': 'dish_feature', 'record_count': 3, 'timestamp': '2026-04-09T05:09:05.236084', 'completeness': 0.9333333333333333, 'accuracy': 0.4444444444444444, 'consistency': 0.6666666666666666, 'timeliness': 1.0, 'duplicate_count': 0, 'error_count': 2, 'field_statistics': {'dish_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'merchant_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'name': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'price': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'mean': 28.833333333333332, 'min': -10.0, 'max': 68.0, 'std': 39.00106836143509}, 'category': {'non_null_count': 3, 'null_count': 0, 'unique_count': 2, 'non_empty_count': 2}, 'sales_volume': {'non_null_count': 1, 'null_count': 2, 'unique_count': 1, 'mean': 100.0, 'min': 100.0, 'max': 100.0, 'std': nan}, 'rating': {'non_null_count': 2, 'null_count': 1, 'unique_count': 2, 'mean': 5.25, 'min': 4.5, 'max': 6.0, 'std': 1.0606601717798212}}}
2026-04-09 13:10:09 | WARNING  | app.core.database:<module>:22 - Redis connection failed: Error 10061 connecting to localhost:6379. 由于目标计算机积极拒绝，无法连接。.
2026-04-09 13:10:14 | WARNING  | app.core.database:<module>:33 - MongoDB connection failed: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 5.0s, Topology Description: <TopologyDescription id: 69d734b11050c1f4d07e61c9, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:10:16 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:10:19 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:10:21 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:10:21 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: cd239d80-9792-49cf-8b8d-624f0e07592c
2026-04-09 13:10:23 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:10:23 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: 3ba1a3fa-2330-4f98-b82e-a697a3089e4b
2026-04-09 13:10:23 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: 990bcdab-9af4-4cd7-bf80-3ac355a43d06
2026-04-09 13:10:25 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:10:25 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: fd7cb91e-96fc-4408-b43f-fb7bc131c946
2026-04-09 13:10:25 | WARNING  | app.services.user_behavior_service:get_user_behaviors:99 - MongoDB not available, returning empty behavior list
2026-04-09 13:10:29 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:10:29 | INFO     | app.services.dish_feature_service:create_dish_feature:102 - Created dish feature: dd2e1687-70b5-464e-9e90-a49c99a50b34
2026-04-09 13:10:31 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
